1,2,3,4,5,6,7,8,9,10,11,12
88,89,91,196,190,199,186,190,191,189,187,177
,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12
1,0,0,12,13,13,21,20,22,26,24,24
12,18,22,31,40,39,36,35,89,60,51,42
323,194,151,106,668,384,286,204,1269,768,535,294
8,12,21,35,78,242,20,19,19,26,25,24
32,33,35,26,26,25,31,32,31,38,38,37
34,35,33,42,41,41,47,48,48,47,46,45
58,55,55,64,64,65,85,84,83,94,95,92
101,99,105,210,207,216,209,213,212,213,214,202
,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12
0,1,0,13,13,13,21,20,21,26,25,25
12,17,22,30,39,40,35,34,86,56,48,40
320,180,128,86,657,367,245,164,1260,708,474,271
7,13,22,35,77,243,20,19,20,26,26,25
34,34,37,28,27,27,33,33,34,41,40,38
38,40,39,48,47,45,52,53,52,55,53,54
66,64,62,71,71,72,100,98,94,104,111,103
110,107,113,239,235,245,250,246,232,231,235,227
