Substrate,Slurry,Measurement,Time
3,2,16,16451.17
3,1,16,16452.67
2,3,16,16368.55
2,2,16,16370.05
2,1,16,16371.55
1,3,16,16276.96
1,2,16,16278.46
1,1,16,16279.96
6,3,17,24011.96
6,2,17,24013.46
6,1,17,24014.96
5,3,17,23931.53
5,2,17,23933.03
5,1,17,23934.53
4,3,17,23847.18
4,2,17,23848.68
4,1,17,23850.18
3,3,17,23769.67
3,2,17,23771.17
3,1,17,23772.67
2,3,17,23688.55
2,2,17,23690.05
2,1,17,23691.55
1,3,17,23596.96
1,2,17,23598.46
1,1,17,23599.96
