Model,Dilution,Vmax,Km,Ks,Ki,SSres,SStot,P,n,Rsq,Fstat,pval
WI,1,0.995971208,13.25898884,NA,NA,68.37913721,479.2655714,2,105,0.857325163,NA,NA
SI,1,1.270756934,17.92652211,215.5652422,NA,65.65036222,479.2655714,3,105,0.863018823,4.239657469,0.042038063
NCI,1,37.97270344,500,NA,27.57115269,68.23370746,479.2655714,3,105,0.857628606,0.217397463,0.642024347
CI,1,37.99041862,500,NA,27.49903112,68.16400357,479.2655714,3,105,0.857774045,0.321924039,0.571700322
UCI,1,37.54027396,500,NA,13.71848229,68.51140781,479.2655714,3,105,0.857049177,-0.196924885,1
WI,2,0.938199769,18.63369695,NA,NA,53.28416771,483.6475,2,108,0.889828506,NA,NA
SI,2,1.377673886,29.5457584,137.2692951,NA,48.80902544,483.6475,3,108,0.899081407,9.627111666,0.002463396
NCI,2,25.32690593,500,NA,39.08769131,52.94456649,483.6475,3,108,0.890530673,0.673499281,0.413693529
CI,2,25.33416051,500,NA,39.00986289,52.94292517,483.6475,3,108,0.890534066,0.676775345,0.412563717
UCI,2,28.19480264,560.3686625,NA,19.3345617,53.28408939,483.6475,3,108,0.889828668,0.000154317,0.990112152
WI,4,0.644078627,19.43245882,NA,NA,43.65372419,479.2655714,2,105,0.908915376,NA,NA
SI,4,0.856036655,27.5134967,207.5780164,NA,41.21208635,479.2655714,3,105,0.914009917,6.043058776,0.015645832
NCI,4,6.522673913,195.7130435,NA,43.47917391,43.44434453,479.2655714,3,105,0.909352252,0.491588155,0.484816222
CI,4,16.65566827,500,NA,40.59378385,43.45325075,479.2655714,3,105,0.909333669,0.470581381,0.494276155
UCI,4,1.306180933,39.48371277,NA,39.48371408,43.52389301,479.2655714,3,105,0.909186272,0.304264607,0.5824276
