Model,Dilution,Vmax,Km,Ks,Ki,SSres,SStot,P,n,Rsq,Fstat,pval
WI,1,0.759805922,12.38424147,NA,NA,164.6329158,483.75,2,108,0.659673559,NA,NA
SI,1,0.905831424,15.25226745,500,NA,178.6378024,483.75,3,108,0.630722889,-8.231813603,1
NCI,1,30.91377204,500,NA,25.42581812,163.7139409,483.75,3,108,0.661573249,0.589396142,0.444375759
CI,1,30.92153581,500,NA,25.38036645,163.6774965,483.75,3,108,0.661648586,0.612906642,0.435457669
UCI,1,30.65330802,500,NA,12.75775374,164.7023454,483.75,3,108,0.659530035,-0.044262301,1
WI,2,0.490943471,28.53442482,NA,NA,95.94042709,483.75,2,108,0.801673536,NA,NA
SI,2,0.592348512,35.36329586,500,NA,103.441007,483.75,3,108,0.786168461,-7.613623598,1
NCI,2,8.595327976,500,NA,61.27320274,95.57984754,483.75,3,108,0.80241892,0.396117532,0.530468193
CI,2,8.596197379,500,NA,61.21211559,95.57105333,483.75,3,108,0.802437099,0.405815816,0.525487421
UCI,2,8.582367318,500,NA,30.59943769,95.95008828,483.75,3,108,0.801653564,-0.010572419,1
WI,4,0.252276311,27.66904629,NA,NA,76.08452221,483.75,2,108,0.842719334,NA,NA
SI,4,0.300410234,33.74610438,500,NA,82.26096142,483.75,3,108,0.829951501,-7.883765344,1
NCI,4,4.557265977,500,NA,59.05387418,76.01963946,483.75,3,108,0.842853458,0.089617486,0.765255762
CI,4,4.557561328,500,NA,59.01779323,76.00521615,483.75,3,108,0.842883274,0.109560073,0.741305184
UCI,4,4.553865045,500,NA,29.48378012,76.11019659,483.75,3,108,0.84266626,-0.035419817,1
