Model,Dilution,Vmax,Km,Ks,Ki,SSres,SStot,P,n,Rsq,Fstat,pval
WI,1,1.543731506,20.63885696,NA,NA,94.05601733,484.2375,2,108,0.805764697,NA,NA
SI,1,2.659289635,38.43768687,81.70158986,NA,87.7478719,484.2375,3,108,0.818791663,7.54839128,0.007070468
NCI,1,37.71570279,500,NA,43.79489276,94.03061817,484.2375,3,108,0.805817149,0.028362167,0.86658416
CI,1,36.95715217,489.1326087,NA,43.47917391,93.99851307,484.2375,3,108,0.80588345,0.064234505,0.800419731
UCI,1,37.39544999,500,NA,21.65456029,94.11907115,484.2375,3,108,0.805634485,-0.070343348,1
WI,2,0.901684408,27.20418744,NA,NA,59.29459262,484.2375,2,108,0.877550597,NA,NA
SI,2,2.934006294,100.3634184,28.50024688,NA,46.30668978,484.2375,3,108,0.904371946,29.44995215,3.71E-07
NCI,2,5.715159475,172.0740314,NA,65.54014518,59.34133675,484.2375,3,108,0.877454066,-0.082710191,1
CI,2,1.016246894,30.64364784,NA,500,59.29710148,484.2375,3,108,0.877545416,-0.004442555,1
UCI,2,16.56980854,500,NA,28.93655579,59.2995319,484.2375,3,108,0.877540397,-0.008745848,1
WI,4,0.379640376,16.45895924,NA,NA,63.05090721,484.2375,2,108,0.869793423,NA,NA
SI,4,0.515050496,23.81680667,173.6149911,NA,59.94068762,484.2375,3,108,0.876216345,5.44827011,0.021491371
NCI,4,11.56155225,500,NA,34.22865755,63.05677049,484.2375,3,108,0.869781315,-0.009763335,1
CI,4,11.56334563,500,NA,34.19568631,63.03539054,484.2375,3,108,0.869825467,0.025846592,0.872584445
UCI,4,11.52627911,500,NA,17.06976075,63.0931386,484.2375,3,108,0.869706211,-0.070281753,1
