1,2,3,4,5,6,7,8,9,10,11,12
78,79,80,79,79,77,114,114,117,121,121,116
115,116,113,186,186,186,181,190,187,168,174,169
,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12
1,0,1,13,14,14,22,20,20,29,27,26
18,23,26,33,85,61,54,48,162,117,90,69
383,246,185,129,767,480,351,257,1444,946,711,493
5,18,32,74,128,217,18,18,18,24,25,24
36,34,34,30,30,30,38,37,39,43,42,41
42,44,43,49,50,51,57,55,56,81,79,75
86,85,85,87,85,87,123,121,126,134,131,124
129,128,124,198,199,198,199,199,200,185,187,184
,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12
1,1,1,12,14,13,21,20,19,30,28,27
18,23,26,35,86,61,52,48,162,115,86,60
386,244,174,124,768,484,337,242,1444,939,675,402
5,18,32,75,129,218,19,19,20,25,28,25
35,36,36,35,34,33,42,43,44,47,46,45
46,50,49,58,59,58,61,60,62,93,90,84
177,94,96,99,96,99,136,138,140,149,148,134
143,145,137,218,218,217,216,217,218,208,200,203
